r,g,b,weight,source_index
169.0,151.0,79.0,312.0005404278734,317781
184.0,156.0,72.0,1108.0019192118068,939803
163.0,133.0,95.0,969.0016784442606,368070
191.0,133.0,93.0,861.0014913730737,452445
173.0,158.0,93.0,632.0010947128717,390476
188.0,154.0,80.0,1510.002615532336,1601234
142.0,103.0,38.0,1392.002411139743,339380
144.0,101.0,33.0,1266.0021928900246,1128901
133.0,114.0,38.0,236.00040878518627,905715
155.0,127.0,44.0,720.0012471412463,1300475
139.0,105.0,60.0,1391.0024094076023,487937
157.0,111.0,61.0,1135.0019659796035,326532
141.0,122.0,56.0,624.0010808557467,427893
158.0,122.0,62.0,1173.002031800947,934371
202.0,138.0,103.0,1211.0020976222906,1548355
216.0,135.0,105.0,1564.0027090679293,466910
198.0,152.0,103.0,807.0013978374802,684913
210.0,146.0,98.0,1251.0021669079154,371153
203.0,139.0,112.0,718.001243676965,678634
210.0,137.0,118.0,860.0014896409331,791927
204.0,145.0,113.0,532.0009214988097,485685
218.0,153.0,121.0,980.0016974978074,540822
237.0,196.0,106.0,1048.0018152833695,1171324
247.0,202.0,111.0,1546.0026778893982,1582442
235.0,208.0,105.0,188.00032564243654,1243289
241.0,219.0,108.0,525.0009093738254,1254118
226.0,198.0,115.0,1921.0033274421307,848023
243.0,196.0,116.0,1395.0024163361647,237987
236.0,209.0,118.0,321.000556017139,982262
240.0,215.0,125.0,971.0016819085419,829224
36.0,37.0,19.0,7776.01346912546,1127522
41.0,38.0,19.0,1749.003029513944,1168542
39.0,43.0,20.0,4177.007235151369,1122069
46.0,44.0,19.0,3196.005535921421,1274259
33.0,34.0,28.0,5292.00916648816,144362
42.0,39.0,30.0,1290.0022344613997,85254
32.0,45.0,27.0,3105.0053782966247,1695250
43.0,41.0,26.0,3863.006691259214,14814
238.0,161.0,105.0,780.0013510696834,1226170
255.0,168.0,99.0,689.001193444887,436739
232.0,180.0,104.0,1170.002026604525,1383266
253.0,189.0,99.0,1201.0020803008845,630604
230.0,162.0,117.0,734.0012713912149,861264
255.0,168.0,125.0,891.0015433372922,1249379
225.0,187.0,125.0,988.0017113549324,851595
249.0,178.0,112.0,871.0015086944799,1141480
200.0,130.0,35.0,933.0016160871983,597774
218.0,139.0,44.0,727.0012592662306,531859
202.0,146.0,35.0,701.0012142305745,1288623
212.0,147.0,43.0,987.0017096227917,487901
202.0,135.0,48.0,982.0017009620886,804142
220.0,137.0,57.0,774.0013406768397,927695
196.0,153.0,61.0,854.0014792480894,1027521
216.0,145.0,57.0,1186.0020543187752,938567
37.0,65.0,7.0,244.00042264231124,865626
60.0,70.0,10.0,649.0011241592623,94488
43.0,81.0,0.0,4.000006928562479,287525
54.0,87.0,0.0,112.00019399974943,280618
43.0,67.0,31.0,784.0013579982459,1657782
52.0,70.0,30.0,4461.007727079305,156646
63.0,84.0,28.0,860.0014896409331,1042840
139.0,133.0,101.0,1087.0018828368538,988254
154.0,136.0,100.0,674.0011674627777,813273
140.0,144.0,111.0,1434.0024838896488,1023836
144.0,159.0,102.0,545.0009440166378,774255
140.0,140.0,114.0,1044.001808354807,176526
159.0,133.0,116.0,357.0006183742013,526260
129.0,150.0,117.0,1305.002260443509,1199151
145.0,158.0,112.0,603.0010444807938,1244179
106.0,101.0,45.0,465.0008054453882,1504681
119.0,99.0,38.0,640.0011085699966,335434
102.0,120.0,46.0,448.0007759989977,772355
121.0,124.0,37.0,108.00018707118694,12351
107.0,99.0,53.0,2170.003758745145,1368493
115.0,107.0,60.0,1403.0024301932897,376463
102.0,121.0,57.0,1272.0022032828683,937732
117.0,123.0,59.0,400.00069285624795,3506
72.0,44.0,32.0,456.00078985612265,241046
82.0,42.0,32.0,587.0010167665438,623428
73.0,63.0,36.0,2326.0040289590816,704576
82.0,54.0,42.0,1279.0022154078526,310846
72.0,40.0,63.0,320.0005542849983,232607
83.0,46.0,53.0,52.00009007131223,278242
77.0,58.0,54.0,1390.0024076754617,127423
85.0,63.0,49.0,337.0005837313889,1706300
140.0,47.0,42.0,1199.0020768366032,1413364
145.0,34.0,40.0,1243.0021530507904,793400
130.0,57.0,42.0,1611.0027904785386,1034097
157.0,52.0,33.0,1868.0032356386778,603558
137.0,47.0,49.0,20.000034642812395,1441063
155.0,45.0,48.0,60.00010392843719,693411
133.0,49.0,49.0,282.0004884636548,1422256
154.0,52.0,50.0,378.0006547491543,763973
130.0,107.0,65.0,1083.0018759082914,313539
151.0,100.0,71.0,818.001416891027,493667
143.0,115.0,65.0,1103.0019105511037,343485
155.0,120.0,78.0,1164.0020162116814,335225
138.0,106.0,85.0,426.00073789190407,336332
146.0,99.0,83.0,350.00060624921696,398203
137.0,126.0,94.0,914.0015831765265,978361
149.0,119.0,81.0,749.0012973733243,1597286
203.0,193.0,131.0,453.0007846597008,1090936
214.0,195.0,139.0,3157.005468367937,543285
223.0,209.0,138.0,166.0002875353429,941724
200.0,196.0,149.0,550.0009526773409,1530304
219.0,204.0,149.0,1668.0028892105538,812398
204.0,209.0,151.0,8.000013857124959,1538211
221.0,211.0,149.0,283.0004901957954,810404
89.0,0.0,68.0,280.00048499937355,225609
