Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,4,64,4,16510.551907232202,0.8986921000177972,67,64,True,7.110338483106556,2.0,0.8887923103883195,40584.00673587081,0.0011158999986946,0.1458743999828584,20,0
birb,4,128,0,16335.302360506306,0.9779876999964472,129,128,True,1.2785834547137762,1.1,0.960618673714332,40767.2121645521,0.0018328999867662,0.1516741999948863,20,0
birb,4,128,1,16293.580862493942,1.014014699991094,129,128,True,2.472601270499685,1.4,0.9010937574707304,21080.74746635909,0.0010248000035062,0.1418317999923601,20,0
birb,4,128,2,16443.521768383787,0.981936099997256,129,128,True,1.9317302315220968,1.3,0.879258184579926,26983.21024221453,0.0013459999754559,0.1395546999992802,20,0
birb,4,128,3,16769.606930246853,0.9916908999730368,129,128,True,1.1786656670663342,1.1,0.885548960981468,44223.128258362165,0.0012675000180024,0.145376500004204,20,0
birb,4,128,4,17244.842627082715,1.038392999995267,129,128,True,1.2843552709725834,1.1,0.9649551246976582,40584.00673587081,0.0013407999940682,0.1465287000173702,20,0
birb,4,256,0,16166.27462623058,1.091200499999104,262,256,True,0.3124443798345847,0.7000000000000001,0.9109165592845032,40767.2121645521,0.0022799000144004,0.1395348999940324,20,0
birb,4,256,1,18166.17924815905,1.0855447000067215,262,256,True,0.6042236568065269,0.9,0.8288390353998997,21080.74746635909,0.001273299974855,0.1425924000213854,20,0
birb,4,256,2,16235.020730903048,1.1140461000031792,262,256,True,0.4720522950383031,0.8,0.9219771387466856,26983.21024221453,0.0012543000048026,0.1440823999873828,20,0
birb,4,256,3,16196.4817473397,1.1261561999854166,262,256,True,0.2880277091191503,0.7000000000000001,0.8397309303765313,44223.128258362165,0.0017370000132359,0.1551963999809231,20,0
birb,4,256,4,16635.054802065853,1.1060320000106003,262,256,True,0.3138548247647561,0.7000000000000001,0.9150286436290264,40584.00673587081,0.0010937000042758,0.1398547999851871,20,0
birb,4,512,0,16211.42682208891,1.230631699989317,517,512,True,0.0916957548297803,0.5,0.7335660386382431,40767.2121645521,0.003479300008621,0.1469161999993957,20,0
birb,4,512,1,16129.202106383103,1.2339563999848906,517,512,True,0.1773267431669509,0.6000000000000001,0.8209571442914391,21080.74746635909,0.0021164999925531,0.1480870000086724,20,0
birb,4,512,2,16200.611078623642,1.2051847999973688,517,512,True,0.1385372703313901,0.6000000000000001,0.6413762515342135,26983.21024221453,0.0010557000059634,0.1428990999993402,20,0
birb,4,512,3,16144.665714467848,1.2349021999980323,517,512,True,0.0845299832679194,0.5,0.6762398661433556,44223.128258362165,0.0033452000061515,0.149720299988985,20,0
birb,4,512,4,16141.273494161818,1.2197987000108697,517,512,True,0.0921096903039482,0.5,0.736877522431586,40584.00673587081,0.0016252000059466,0.1453183999983593,20,0
birb,4,1024,0,16192.896120617164,1.3824153000023216,1026,1024,True,0.0208133844213664,0.3,0.7708660896802402,40767.2121645521,0.0051686000078916,0.1362826999975368,20,0
birb,4,1024,1,16111.35277610351,1.424844099994516,1026,1024,True,0.0402501694933864,0.4,0.6289088983341637,21080.74746635909,0.007159100001445,0.1425260999822057,20,0
birb,4,1024,2,16195.994774219243,1.39259229999152,1026,1024,True,0.0314456156606884,0.4,0.4913377446982575,26983.21024221453,0.0055173999862745,0.1388939000025857,20,0
birb,4,1024,3,16332.470068724611,1.406723599997349,1026,1024,True,0.0191868755555027,0.3,0.7106250205741751,44223.128258362165,0.0017843999958131,0.1377548000018578,20,0
birb,4,1024,4,16206.234807833223,1.3848755999933928,1026,1024,True,0.0209073407682605,0.3,0.7743459543800187,40584.00673587081,0.0049981999909505,0.13245000000461,20,0
birb,4,4096,0,16129.45283858985,3.4556569000124,4102,4096,True,0.001263924698914,0.2,0.1579905873642547,40767.2121645521,0.0133436000032816,0.1366546000062953,20,0
birb,4,4096,1,16110.523023562457,3.409748700010823,4102,4096,True,0.0024442532904904,0.2,0.305531661311305,21080.74746635909,0.0115975999797228,0.1385402000159956,20,0
birb,4,4096,2,16108.131164315022,3.403177500003949,4102,4096,True,0.0019095832518857,0.2,0.2386979064857248,26983.21024221453,0.0149381000082939,0.1420339999895077,20,0
birb,4,4096,3,16136.862442856149,3.403837099991506,4102,4096,True,0.0011651524527983,0.2,0.1456440565997923,44223.128258362165,0.0134870999900158,0.1393295000016223,20,0
