r,g,b,weight,source_index
96.0,123.0,52.0,1272.000734426775,276676
122.0,117.0,61.0,400.000230951816,1368656
66.0,37.0,42.0,456.0002632850702,202131
92.0,32.0,34.0,587.00033892179,222907
82.0,55.0,34.0,1279.0007384684316,297713
74.0,41.0,62.0,320.0001847614528,229758
89.0,41.0,57.0,52.00003002373608,220916
64.0,61.0,54.0,1390.0008025575605,97199
85.0,54.0,52.0,337.00019457690496,249595
137.0,39.0,38.0,1199.0006922780683,1433154
153.0,44.0,39.0,1243.0007176827683,1432179
134.0,57.0,39.0,1611.000930158439,794860
128.0,45.0,53.0,20.0000115475908,272316
157.0,42.0,49.0,60.0000346427724,287267
141.0,63.0,50.0,282.00016282103024,1425343
158.0,62.0,48.0,378.0002182494661,984973
135.0,108.0,65.0,1083.0006253020417,800289
156.0,102.0,78.0,818.0004722964637,504207
143.0,119.0,71.0,1103.0006368496327,501531
157.0,117.0,65.0,1164.0006720697845,1093354
136.0,99.0,83.0,426.000245963684,324857
148.0,101.0,85.0,350.000202082839,412035
131.0,114.0,84.0,914.0005277248995,785579
147.0,121.0,84.0,749.0004324572755,1023647
199.0,193.0,131.0,453.0002615529316,296627
217.0,210.0,132.0,166.00009584500364,330014
196.0,195.0,147.0,550.0003175587469,1462125
214.0,201.0,149.0,1668.0009630690727,839673
199.0,209.0,148.0,8.00000461903632,1540185
221.0,210.0,144.0,283.0001633984098,810406
74.0,23.0,66.0,280.0001616662712,210966
105.0,17.0,78.0,149.00008602955145,231538
116.0,37.0,94.0,342.0001974638027,239459
115.0,30.0,98.0,8.00000461903632,224673
111.0,42.0,99.0,222.00012817825788,220679
21.0,17.0,16.0,5543.00320041479,1020302
24.0,23.0,18.0,2465.001423240566,138291
23.0,25.0,20.0,2435.00140591918,153005
16.0,16.0,24.0,337.00019457690496,186394
29.0,23.0,25.0,156.00009007120823,255396
23.0,27.0,30.0,163.000094112865,95638
30.0,31.0,25.0,1973.0011391698324,227310
6.0,17.0,0.0,1337.0007719564449,928854
3.0,25.0,0.0,107.00006177961077,951688
12.0,27.0,0.0,1748.001009259436,1605454
7.0,17.0,8.0,41.00002367256114,1380083
13.0,16.0,9.0,6861.003961401024,86448
7.0,24.0,8.0,2.00000115475908,1730417
13.0,30.0,14.0,452.00026097555207,1730418
238.0,131.0,97.0,1025.0005918140284,1139435
254.0,130.0,104.0,623.0003597074534,422080
225.0,150.0,111.0,964.0005565938765,382526
251.0,148.0,107.0,776.000448046523,675646
236.0,135.0,115.0,482.00027829693823,525452
248.0,134.0,123.0,413.00023845775,425035
226.0,150.0,118.0,939.000542159388,508823
243.0,152.0,125.0,729.0004209096846,951005
118.0,0.0,0.0,5211.003008724782,369596
122.0,3.0,5.0,6812.003933109426,1204971
116.0,11.0,5.0,2054.001185937575,310069
123.0,8.0,3.0,2280.001316425351,914523
113.0,2.0,8.0,1059.0006114449327,1021567
127.0,1.0,13.0,1811.0010456343468,467568
119.0,11.0,8.0,1800.0010392831718,1122327
125.0,13.0,12.0,2393.001381669239,843176
204.0,160.0,71.0,556.0003210230242,306979
220.0,162.0,65.0,1048.000605093758,1261692
196.0,182.0,73.0,43.00002482732022,1071011
223.0,188.0,68.0,334.00019284476633,379441
203.0,160.0,82.0,1437.0008296943988,535033
212.0,166.0,81.0,1237.0007142184909,1585405
205.0,182.0,88.0,187.00010796997398,715920
219.0,184.0,94.0,793.0004578619752,919015
224.0,165.0,47.0,779.0004497786616,525524
246.0,164.0,39.0,668.0003856895327,1496735
230.0,182.0,46.0,393.0002269101592,1239381
255.0,177.0,41.0,540.0003117849516,414145
235.0,163.0,63.0,1022.0005900818899,1168846
253.0,166.0,50.0,767.0004428501071,632527
226.0,185.0,57.0,555.0003204456447,1193183
255.0,188.0,61.0,716.0004134037506,1131897
143.0,107.0,13.0,766.0004422727276,1559073
144.0,96.0,11.0,1670.0009642238317,408350
141.0,117.0,7.0,63.00003637491102,364597
144.0,122.0,3.0,408.0002355708523,1621973
133.0,99.0,28.0,767.0004428501071,793616
156.0,96.0,23.0,1184.0006836173752,962270
131.0,117.0,29.0,125.0000721724425,346800
151.0,115.0,19.0,389.00022460064105,325691
22.0,4.0,0.0,3193.001843572871,1421193
30.0,0.0,0.0,2146.0012390564925,861049
19.0,13.0,1.0,6402.003696383815,1104972
27.0,15.0,0.0,3112.0017968051284,1619360
16.0,4.0,8.0,1463.000844706267,240590
25.0,4.0,9.0,358.0002067018753,281205
22.0,12.0,10.0,3956.00228411346,269047
25.0,15.0,14.0,738.0004261061005,115222
232.0,169.0,134.0,652.00037645146,1274172
255.0,167.0,132.0,823.0004751833613,462467
227.0,191.0,133.0,656.0003787609783,572605
254.0,177.0,131.0,740.0004272608596,1226167
234.0,164.0,152.0,641.0003701002851,503230
251.0,169.0,147.0,588.0003394991695,557632
236.0,182.0,158.0,471.0002719457633,427173
247.0,183.0,158.0,768.0004434274867,796954
106.0,103.0,96.0,369.00021305305023,62716
